164:  1/5 : 85.5% | 2/5 : 71.5% | 3/5 : 58.8% | 4/5 : 50.9% | 5/5 : 44.2% | 6/5 : 310.9% ||
165:  1/5 : 85.5% | 2/5 : 71.7% | 3/5 : 59.0% | 4/5 : 51.2% | 5/5 : 44.6% | 6/5 : 312.0% ||
166:  1/5 : 85.6% | 2/5 : 71.3% | 3/5 : 58.7% | 4/5 : 50.9% | 5/5 : 44.3% | 6/5 : 310.8% ||
167:  1/5 : 85.7% | 2/5 : 70.8% | 3/5 : 58.3% | 4/5 : 50.6% | 5/5 : 44.0% | 6/5 : 309.5% ||
168:  1/5 : 85.2% | 2/5 : 70.4% | 3/5 : 58.0% | 4/5 : 50.3% | 5/5 : 43.8% | 6/5 : 307.7% ||
169:  1/5 : 85.3% | 2/5 : 70.6% | 3/5 : 58.2% | 4/5 : 50.6% | 5/5 : 44.1% | 6/5 : 308.8% ||
170:  1/5 : 85.4% | 2/5 : 70.8% | 3/5 : 58.5% | 4/5 : 50.9% | 5/5 : 44.4% | 6/5 : 309.9% ||
171:  1/5 : 85.5% | 2/5 : 70.9% | 3/5 : 58.7% | 4/5 : 51.2% | 5/5 : 44.8% | 6/5 : 311.0% ||
172:  1/5 : 85.5% | 2/5 : 71.1% | 3/5 : 59.0% | 4/5 : 51.4% | 5/5 : 45.1% | 6/5 : 312.1% ||
173:  1/5 : 85.6% | 2/5 : 71.3% | 3/5 : 59.2% | 4/5 : 51.7% | 5/5 : 45.4% | 6/5 : 313.2% ||
174:  1/5 : 85.7% | 2/5 : 71.4% | 3/5 : 59.4% | 4/5 : 52.0% | 5/5 : 45.1% | 6/5 : 313.7% ||
175:  1/5 : 85.8% | 2/5 : 71.6% | 3/5 : 59.7% | 4/5 : 52.3% | 5/5 : 45.5% | 6/5 : 314.8% ||
176:  1/5 : 85.9% | 2/5 : 71.8% | 3/5 : 59.9% | 4/5 : 52.0% | 5/5 : 45.2% | 6/5 : 314.7% ||
177:  1/5 : 86.0% | 2/5 : 71.9% | 3/5 : 60.1% | 4/5 : 52.2% | 5/5 : 45.5% | 6/5 : 315.7% ||
178:  1/5 : 86.0% | 2/5 : 72.1% | 3/5 : 60.3% | 4/5 : 52.5% | 5/5 : 45.8% | 6/5 : 316.8% ||
179:  1/5 : 86.1% | 2/5 : 72.2% | 3/5 : 60.6% | 4/5 : 52.2% | 5/5 : 45.6% | 6/5 : 316.7% ||
180:  1/5 : 86.2% | 2/5 : 71.8% | 3/5 : 60.2% | 4/5 : 51.9% | 5/5 : 45.3% | 6/5 : 315.5% ||
181:  1/5 : 86.3% | 2/5 : 72.0% | 3/5 : 60.4% | 4/5 : 52.2% | 5/5 : 45.6% | 6/5 : 316.5% ||
182:  1/5 : 86.3% | 2/5 : 72.1% | 3/5 : 60.7% | 4/5 : 52.5% | 5/5 : 45.9% | 6/5 : 317.5% ||
183:  1/5 : 85.9% | 2/5 : 71.7% | 3/5 : 60.3% | 4/5 : 52.2% | 5/5 : 45.7% | 6/5 : 315.8% ||
